MMETSP.Strain,Doubling.Time,OGT,Source,GenomeOrTranscriptome,Source.Link,Source.DOI
Synedra tabulata,40.57446911,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Syracosphaera carterae,66.54212933,18,"Rose and Caron, 2007; [119]","MMETSP1137,MMETSP1136,MMETSP1138",,https://doi.org/10.4319/lo.2007.52.2.0886
Tabellaria flocculosa var. flocculosa,24.82915274,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Tetraedron sp.,20.04281004,26,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Tetrahymena pyriformis,8.114893821,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Tetraselmis maculata,25.59312667,18,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Tetryhymena pyriformis,4.332169878,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Thalassiosira antarctica,27.72588722,-0.5,"Rose and Caron, 2007; [119]","MMETSP0902,MMETSP0903,MMETSP0905,MMETSP0904",,https://doi.org/10.4319/lo.2007.52.2.0886
Thalassiosira bioculata,38.6872845,-0.5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Thalassiosira bulbosa,27.72588722,-0.5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Thalassiosira decipiens,14.72171003,18,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Thalassiosira eccentrica,16.63553233,16,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Thalassiosira fluviatilis,4.620981204,25,"Rose and Caron, 2007; [119]","MMETSP0880,MMETSP0878,MMETSP0879,MMETSP0881",,https://doi.org/10.4319/lo.2007.52.2.0886
Thalassiosira hendeyi,23.43032723,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Thalassiosira levanderi,14.72171003,12,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Thalassiosira nordenskioeldii,14.85315387,6,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Thalassiosira nordenskioeldii ,14.85315387,6,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Thalassiosira nordenskioldii,13.30842587,10,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Thalassiosira polychorda,14.34097615,12,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Thalassiosira pseudonana,4.892803627,24,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Thalassiosira rotula,6.931471806,25,"Rose and Caron, 2007; [119]","MMETSP0404,MMETSP0403,MMETSP0910,MMETSP0911,MMETSP0912,MMETSP0913",,https://doi.org/10.4319/lo.2007.52.2.0886
Thalassiosira sp.,8.896006595,24,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Thalassiosira subtilis,36.16420072,0,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Thalassiothrix longissima,40.57446911,0,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Tribonema aequale,50.41070404,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Tribonema minus,34.65735903,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Triceratium alternans,22.4804491,12,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
UnID chrysomonad,3.780802803,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
UnID cryptophyte,19.80420516,1,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
UNID kinetoplastid,16.63553233,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Unidentified amoeba,23.76504619,2,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Uronema elegans,7.360855015,18,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Uronema marina,2.446401814,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Uronema marinum,1.999463021,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Uronema nigricans,5.13442356,18,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Uronema sp.,5.166314389,18,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Urotricha castalia,25.59312667,12,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Urotricha farcta,4.265521111,21,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Urotricha furcata,12.79656333,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Vahlkampfia baltica,15.84336413,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Vahlkampfia damariscottae,12.60267601,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Vanella sp.,8.755543333,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Vannella caledonica,23.76504619,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Vannella sp.,15.26195627,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Vexillifera bacillipedes,5.198603854,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Vischeria stellata,39.60841032,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Vorticella microstoma,6.373767178,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Vorticella similis,7.360855015,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Akashiwo sanguinea,56.33802815,27,Thomas et al. 2012; [135],MMETSP0223,,https://doi.org/10.1126/science.1224836
Alexandrium catenella strain ACC02,80.00000006,14,Thomas et al. 2012; [135],MMETSP0790,,https://doi.org/10.1126/science.1224836
Alexandrium fundyense strain BoF,59.41261548,15,Thomas et al. 2012; [135],"MMETSP0196,MMETSP0347",,https://doi.org/10.1126/science.1224836
Alexandrium fundyense strain MI,36.00764574,15,Thomas et al. 2012; [135],"MMETSP0196,MMETSP0347",,https://doi.org/10.1126/science.1224836
Alexandrium minutum,55.17241371,20,Thomas et al. 2012; [135],MMETSP0328,,https://doi.org/10.1126/science.1224836
Alexandrium monilatum,27.77217418,25,Thomas et al. 2012; [135],"MMETSP0096,MMETSP0095,MMETSP0093,MMETSP0097",,https://doi.org/10.1126/science.1224836
Alexandrium ostenfeldii clone LF-37,74.99999993,20.3,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Alexandrium tamarense clone GTMP,52.14900418,20,Thomas et al. 2012; [135],"MMETSP0378,MMETSP0380,MMETSP0384,MMETSP0382",,https://doi.org/10.1126/science.1224836
Amphiprora sp.,18.46153846,28,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Apedinella radians,14.01869159,20,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Asterionellopsis glacialis,10.16949153,24.33333333,Thomas et al. 2012; [135],"MMETSP0705,MMETSP0708,MMETSP0707,MMETSP0706,MMETSP1394,MMETSP0713",,https://doi.org/10.1126/science.1224836
Calcidiscus leptoporus strain N482-1,37.63695098,20,Thomas et al. 2012; [135],MMETSP1334,,https://doi.org/10.1126/science.1224836
Calcidiscus leptoporus strain NS10-2,29.23643644,12,Thomas et al. 2012; [135],MMETSP1334,,https://doi.org/10.1126/science.1224836
Calciodinellum albatrosianum Geob*26/5,87.59124109,28.6,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Chaetoceros deflandrei,27.39726028,5,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Chaetoceros didymus,11.53846153,21,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Chaetoceros lorenzianus clone Bermuda,7.499999999,30,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Chaetoceros lorenzianus clone Bushehr,12,24.5,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Chaetoceros lorenzianus clone Slope water,9.600000002,27,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Chaetoceros pseudocurvisetus,10.25618516,25,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Chaetoceros sp.,6.681521598,17,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Chaetoceros sp. strain CS256,19.12130153,30,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Chattonella marina,40.06677798,25,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Chattonella marina var. antiqua strain Ho-1,32.74711089,25,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Chlamydomonas strain UMACC 229,41.58883083,9,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Chlorella sp. strain MFD-1,113.100848,25,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Chrysochromulina polylepis strain B3,18.63354036,14,Thomas et al. 2012; [135],"MMETSP0146,MMETSP0147,MMETSP0143,MMETSP0145,MMETSP0286",,https://doi.org/10.1126/science.1224836
Chrysochromulina polylepis strain B4,20.67183462,19,Thomas et al. 2012; [135],"MMETSP0146,MMETSP0147,MMETSP0143,MMETSP0145,MMETSP0286",,https://doi.org/10.1126/science.1224836
Chrysochromulina polylepis strain K,18.66251944,19,Thomas et al. 2012; [135],"MMETSP0146,MMETSP0147,MMETSP0143,MMETSP0145,MMETSP0286",,https://doi.org/10.1126/science.1224836
Coccolithus pelagicus ssp. braarudii,42.87508333,15,Thomas et al. 2012; [135],MMETSP0164,,https://doi.org/10.1126/science.1224836
Cochlodinium polykrikoides strain 02B1,29.08309849,27.5,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Cochlodinium polykrikoides strain 02B2,28.88113252,27.5,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Cochlodinium polykrikoides strain 03H1,27.09370087,27.5,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Cochlodinium polykrikoides strain KG8-ND14,27.04964607,27.5,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Conticribra guillardii clone 7-15,11.26760563,15,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Corethron pennatum,63.99999993,4,Thomas et al. 2012; [135],"MMETSP0171,MMETSP0169",,https://doi.org/10.1126/science.1224836
Cryptomonas sp. strain CRFI01,50.41070404,26,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Cryptomonas sp. strain F,17.21664275,22,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Cylindrotheca closterium,29.19708031,22.5,Thomas et al. 2012; [135],MMETSP0017,,https://doi.org/10.1126/science.1224836
Cylindrotheca closterium strain NT-6,43.77771667,22.5,Thomas et al. 2012; [135],MMETSP0017,,https://doi.org/10.1126/science.1224836
Dactyliosolen fragilissimus,19.67213115,18,Thomas et al. 2012; [135],MMETSP0580,,https://doi.org/10.1126/science.1224836
Detonula confervacea,17.24138806,11,Thomas et al. 2012; [135],MMETSP1058,,https://doi.org/10.1126/science.1224836
Dunaliella tertiolecta strain CCAP 19/6B,11.8825231,20,Thomas et al. 2012; [135],"MMETSP1126,MMETSP1128,MMETSP1127",,https://doi.org/10.1126/science.1224836
Emiliania huxleyi,17.04545455,20,Thomas et al. 2012; [135],"MMETSP1007,MMETSP1009,MMETSP1006,MMETSP1008,MMETSP0994,MMETSP0996,MMETSP0997,MMETSP0995,MMETSP1155,MMETSP1154,MMETSP1156,MMETSP1157,MMETSP1153,MMETSP1151,MMETSP1152,MMETSP1150",,https://doi.org/10.1126/science.1224836
Emiliania huxleyi clone M,33.70786514,20,Thomas et al. 2012; [135],"MMETSP1007,MMETSP1009,MMETSP1006,MMETSP1008,MMETSP0994,MMETSP0996,MMETSP0997,MMETSP0995,MMETSP1155,MMETSP1154,MMETSP1156,MMETSP1157,MMETSP1153,MMETSP1151,MMETSP1152,MMETSP1150",,https://doi.org/10.1126/science.1224836
Emiliania huxleyi R strain TQ26,12.08099661,20,Thomas et al. 2012; [135],"MMETSP1007,MMETSP1009,MMETSP1006,MMETSP1008,MMETSP0994,MMETSP0996,MMETSP0997,MMETSP0995,MMETSP1155,MMETSP1154,MMETSP1156,MMETSP1157,MMETSP1153,MMETSP1151,MMETSP1152,MMETSP1150",,https://doi.org/10.1126/science.1224836
Emiliania huxleyi strain B92/21,17.53104456,18,Thomas et al. 2012; [135],"MMETSP1007,MMETSP1009,MMETSP1006,MMETSP1008,MMETSP0994,MMETSP0996,MMETSP0997,MMETSP0995,MMETSP1155,MMETSP1154,MMETSP1156,MMETSP1157,MMETSP1153,MMETSP1151,MMETSP1152,MMETSP1150",,https://doi.org/10.1126/science.1224836
Emiliania huxleyi strain CCMP373,18.8531029,18,Thomas et al. 2012; [135],"MMETSP1007,MMETSP1009,MMETSP1006,MMETSP1008,MMETSP0994,MMETSP0996,MMETSP0997,MMETSP0995,MMETSP1155,MMETSP1154,MMETSP1156,MMETSP1157,MMETSP1153,MMETSP1151,MMETSP1152,MMETSP1150",,https://doi.org/10.1126/science.1224836
Emiliania huxleyi strain G1779Ga,13.69863014,21,Thomas et al. 2012; [135],"MMETSP1007,MMETSP1009,MMETSP1006,MMETSP1008,MMETSP0994,MMETSP0996,MMETSP0997,MMETSP0995,MMETSP1155,MMETSP1154,MMETSP1156,MMETSP1157,MMETSP1153,MMETSP1151,MMETSP1152,MMETSP1150",,https://doi.org/10.1126/science.1224836
"Emiliania huxleyi strain M181, Bigelow 1A1",16.40464799,24,Thomas et al. 2012; [135],"MMETSP1007,MMETSP1009,MMETSP1006,MMETSP1008,MMETSP0994,MMETSP0996,MMETSP0997,MMETSP0995,MMETSP1155,MMETSP1154,MMETSP1156,MMETSP1157,MMETSP1153,MMETSP1151,MMETSP1152,MMETSP1150",,https://doi.org/10.1126/science.1224836
Emiliania huxleyi strain S. Africa,18.91252955,24,Thomas et al. 2012; [135],"MMETSP1007,MMETSP1009,MMETSP1006,MMETSP1008,MMETSP0994,MMETSP0996,MMETSP0997,MMETSP0995,MMETSP1155,MMETSP1154,MMETSP1156,MMETSP1157,MMETSP1153,MMETSP1151,MMETSP1152,MMETSP1150",,https://doi.org/10.1126/science.1224836
Emiliania huxleyi strain Van556,21.97802198,18,Thomas et al. 2012; [135],"MMETSP1007,MMETSP1009,MMETSP1006,MMETSP1008,MMETSP0994,MMETSP0996,MMETSP0997,MMETSP0995,MMETSP1155,MMETSP1154,MMETSP1156,MMETSP1157,MMETSP1153,MMETSP1151,MMETSP1152,MMETSP1150",,https://doi.org/10.1126/science.1224836
Eucampia zodiacus,5.401146862,20,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Eutreptiella gymnastica,10.90909091,20,Thomas et al. 2012; [135],"MMETSP0810,MMETSP0809,MMETSP0811,MMETSP0039",,https://doi.org/10.1126/science.1224836
Fibrocapsa japonica,36.09022557,25,Thomas et al. 2012; [135],MMETSP1339,,https://doi.org/10.1126/science.1224836
Fibrocapsa japonica strain CAWR-19,54.54272896,24.5,Thomas et al. 2012; [135],MMETSP1339,,https://doi.org/10.1126/science.1224836
Fibrocapsa japonica strain CCRuG-C13,41.27923656,24.5,Thomas et al. 2012; [135],MMETSP1339,,https://doi.org/10.1126/science.1224836
Fibrocapsa japonica strain CS-332,46.86065446,24.5,Thomas et al. 2012; [135],MMETSP1339,,https://doi.org/10.1126/science.1224836
Fragilariopsis cylindrus,28.16901408,5,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Fragilariopsis kerguelensis,30.76923076,4,Thomas et al. 2012; [135],"MMETSP0906,MMETSP0909,MMETSP0907,MMETSP0908,MMETSP0734,MMETSP0735,MMETSP0736,MMETSP0733",,https://doi.org/10.1126/science.1224836
"Gephyrocapsa oceanica strain AB1, CAWPOT",14.11764706,20,Thomas et al. 2012; [135],"MMETSP1366,MMETSP1363,MMETSP1364,MMETSP1365",,https://doi.org/10.1126/science.1224836
Gephyrocapsa oceanica var. typica strain A4725,13.48314607,27,Thomas et al. 2012; [135],"MMETSP1366,MMETSP1363,MMETSP1364,MMETSP1365",,https://doi.org/10.1126/science.1224836
Gephyrocapsa oceanica var. typica strain A4727,12.8342246,27,Thomas et al. 2012; [135],"MMETSP1366,MMETSP1363,MMETSP1364,MMETSP1365",,https://doi.org/10.1126/science.1224836
Gymnodinium aureolum,41.09589046,20,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Gymnodinium catenatum,44.69273743,22.5,Thomas et al. 2012; [135],MMETSP0784,,https://doi.org/10.1126/science.1224836
Gymnodinium catenatum strain GCCV-10,78.46949214,29,Thomas et al. 2012; [135],MMETSP0784,,https://doi.org/10.1126/science.1224836
Gymnodinium corollarium clone GCTV-B4,50.95541402,4,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Gymnodinium isolate 581 (probably G. simplex),19.44894651,28,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Gymnodinium isolate 582 (probably G. simplex),14.1760189,23,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Helicotheca tamesis,18.02009361,25,Thomas et al. 2012; [135],MMETSP1171,,https://doi.org/10.1126/science.1224836
Heterocapsa rotundata,11.42857143,20,Thomas et al. 2012; [135],MMETSP0503,,https://doi.org/10.1126/science.1224836
Heteromastix pyriformis,12.74561869,22,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Heterosigma akashiwo,16.47082409,25,Thomas et al. 2012; [135],"MMETSP0292,MMETSP0294,MMETSP0295,MMETSP0296,MMETSP0411,MMETSP0409,MMETSP0410,MMETSP0896,MMETSP0894,MMETSP0897,MMETSP0895,MMETSP0414,MMETSP0415,MMETSP0416",,https://doi.org/10.1126/science.1224836
"Isochrysis galbana clone T-ISO, NEPCC 601",17.15003333,27,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
"Isochrysis galbana strain CCMP1323, Iso.",12.63157895,20,Thomas et al. 2012; [135],"MMETSP0944,MMETSP0943,MMETSP0595",,https://doi.org/10.1126/science.1224836
Isochrysis sp. strain PS11,30.24642242,20,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Karenia brevis strain APA,76.92307704,25,Thomas et al. 2012; [135],"MMETSP0027,MMETSP0031,MMETSP0029,MMETSP0030,MMETSP0573,MMETSP0574,MMETSP0528,MMETSP0527,MMETSP0202,MMETSP0201,MMETSP0648,MMETSP0649",,https://doi.org/10.1126/science.1224836
Karenia brevis strain MAN,106.1946901,23,Thomas et al. 2012; [135],"MMETSP0027,MMETSP0031,MMETSP0029,MMETSP0030,MMETSP0573,MMETSP0574,MMETSP0528,MMETSP0527,MMETSP0202,MMETSP0201,MMETSP0648,MMETSP0649",,https://doi.org/10.1126/science.1224836
Karenia mikimotoi,26.31578946,25,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Karlodinium veneficum strain KT76E,35.39474965,20,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Klebsormidium strain UMACC 227,66.54212933,14,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Koliella antarctica strain SAG 2030,55.45177444,12.5,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Leonella granifera strain GeoB*38,86.64259928,29,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Leonella granifera strain GeoB*39,41.95804199,28,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Leptocylindrus danicus,10.90909091,28,Thomas et al. 2012; [135],"MMETSP0321,MMETSP0322,MMETSP1362",,https://doi.org/10.1126/science.1224836
Men. 5 (Diatom),8.888888887,27,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Micromonas pusilla,5.842259006,20,Thomas et al. 2012; [135],"MMETSP1401,MMETSP1402,MMETSP1403,MMETSP1404,MMETSP1327",,https://doi.org/10.1126/science.1224836
Micromonas sp. strain CCMP2099,30.08233695,6,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
N-fixing unicellular cyanobacterium strain A 2.5,13.86294361,29,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
N-fixing unicellular cyanobacterium strain P-3,15.69389843,30,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
N-fixing unicellular cyanobacterium strain P-7,33.88092125,28.5,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Nannochloris (possibly Stichococcus) sp.,5.307386113,33,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Neoceratium furca,41.19793453,22,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Neoceratium fusus,45.7397738,20.5,Thomas et al. 2012; [135],"MMETSP1075,MMETSP1074",,https://doi.org/10.1126/science.1224836
Neoceratium lineatum,71.21661716,20,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Neoceratium tripos,85.10638294,20,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Nitzschia frigida,39.51432858,2,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Nitzschia paleacea strain NT7,43.77771667,15,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Odontella mobiliensis,12.30769231,27,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Olisthodiscus luteus,20.25316456,15,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Olisthodiscus luteus clone OLMS,17.20430107,25,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Peridinium sp. 1,22.88037961,18,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Pernambugia tuberosa strain GeoB*74,46.06525913,21.7,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Phaeocystis antarctica strain CCMP 1871,47.53009238,4,Thomas et al. 2012; [135],"MMETSP1100,MMETSP1444",,https://doi.org/10.1126/science.1224836
Phaeocystis globosa strain CCMP 1528,15.12321121,20,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Phaeocystis globosa strain CCMP 1528,7.272727272,15,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Phaeodactylum tricornutum,49.99999995,15,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Phaeodactylum tricornutum clone Pet Pd,11.02434543,23,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Phaeodactylum tricornutum strain CCAP 1052/1A,20.79722705,21,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Phaeodactylum tricornutum strain CCMP633,17.39130435,24,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Phaeodactylum tricornutum strain NEPCC 640,33.33333333,18,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Picochlorum atomus,30.00000002,20,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Prorocentrum gracile,25.87552965,18,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Prorocentrum micans,30.00314271,25,Thomas et al. 2012; [135],MMETSP0251,,https://doi.org/10.1126/science.1224836
Prorocentrum minimum,21.25775022,26.5,Thomas et al. 2012; [135],"MMETSP0053,MMETSP0055,MMETSP0056,MMETSP0057,MMETSP0269,MMETSP0267,MMETSP0268",,https://doi.org/10.1126/science.1224836
Prymnesium parvum f. patelliferum strain RHpat93,46.69260698,15,Thomas et al. 2012; [135],"MMETSP1083,MMETSP0008,MMETSP0006,MMETSP0815,MMETSP0814,MMETSP0007",,https://doi.org/10.1126/science.1224836
Prymnesium parvum strain RL10parv93,64.34316363,15,Thomas et al. 2012; [135],"MMETSP1083,MMETSP0008,MMETSP0006,MMETSP0815,MMETSP0814,MMETSP0007",,https://doi.org/10.1126/science.1224836
Pseudo-nitzschia americana,6.009946652,25,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Pseudo-nitzschia granii,17.52953881,14,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Pseudo-nitzschia multiseries,36.92307695,20,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Pseudo-nitzschia turgiduloides,32.967033,3,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Pseudopedinella pyriformis,17.31601732,11,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Pyramimonas disomata,15.07537689,15,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Pyrodinium bahamense var. compressum strain PbSA01,62.33766222,28.5,Thomas et al. 2012; [135],MMETSP0796,,https://doi.org/10.1126/science.1224836
Rhizosolenia setigera,17.45454546,18,Thomas et al. 2012; [135],MMETSP0789,,https://doi.org/10.1126/science.1224836
Scrippsiella trochoidea strain ScrpMxB,35.09605978,16.5,Thomas et al. 2012; [135],"MMETSP0270,MMETSP0271,MMETSP0272",,https://doi.org/10.1126/science.1224836
Skeletonema ardens strain FDK003,7.170488075,35,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Skeletonema ardens strain FDK004,11.45697819,30,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Skeletonema ardens strain FDK005,7.367374816,35,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Skeletonema ardens strain FDK006,7.410036674,35,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Skeletonema ardens strain FDK007,7.493483033,35,Thomas et al. 2012; [135],NA,,https://doi.org/10.1126/science.1224836
Skeletonema costatum,20.70993038,21.66666667,Thomas et al. 2012; [135],MMETSP0013,,https://doi.org/10.1126/science.1224836
Skeletonema costatum clone FHS 3,13.04347826,13,Thomas et al. 2012; [135],MMETSP0014,,https://doi.org/10.1126/science.1224836
Skeletonema costatum clone FHS 7,10.12658228,27.5,Thomas et al. 2012; [135],MMETSP0015,,https://doi.org/10.1126/science.1224836
Skeletonema costatum clone SK6C,14.20118343,24,Thomas et al. 2012; [135],MMETSP0016,,https://doi.org/10.1126/science.1224836
Skeletonema costatum s.s. strain FDK009,12.8957615,25,Thomas et al. 2012; [135],MMETSP0017,,https://doi.org/10.1126/science.1224836
Skeletonema japonicum strain FDK154,10.46259895,20,Thomas et al. 2012; [135],MMETSP0593,,https://doi.org/10.1126/science.1224836
Skeletonema japonicum strain FDK157,10.85870257,25,Thomas et al. 2012; [135],MMETSP0594,,https://doi.org/10.1126/science.1224836
